question;answer;tag
what is the basis for mtech admission at nit jamshedpur;mtech students are admitted based on gate score and seat allocation through ccmt centralized counselling;PG  
how are msc students admitted at nit jamshedpur;msc students are admitted based on jam score and centralized counselling for msc ccmn;PG  
what is the admission procedure for mca at nit jamshedpur;mca admission is based on nimcet examination conducted jointly by nits and centralized common counselling;MCA  
how is phd admission conducted at nit jamshedpur;phd admission is through direct notification and selection is based on tests or interview conducted by respective departments;PhD  
which exam is required for ug admission at nit jamshedpur;jee main is required for admission to undergraduate programmes;UG  
which exam is required for mtech admission at nit jamshedpur;gate exam score is required for mtech admission;PG  
which exam is required for msc admission at nit jamshedpur;jam score is required for msc admission;PG  
which exam is required for mca admission at nit jamshedpur;nimcet examination is required for mca admission;MCA  
who conducts the nimcet examination;nimcet is jointly conducted by all nits for mca admission;MCA  
how are phd candidates selected at nit jamshedpur;phd candidates are selected based on tests or interview conducted by respective departments;PhD  
who handles seat allocation for ug programmes at nit jamshedpur;josaa or csab handles seat allocation for ug programmes;UG  
what is ccmt for mtech admission at nit jamshedpur;ccmt is centralized counselling for mtech march and mplan admissions;PG  
what is ccmn for msc admission at nit jamshedpur;ccmn is centralized counselling for msc programmes;PG  
are there direct notifications for phd admission at nit jamshedpur;yes phd admission is through direct notification by the institute;PhD
who is the dean academic at nit jamshedpur;m k sinha is the dean academic and can be contacted at 0657 2472222;Dean  
who is the faculty in charge of examination at nit jamshedpur;dr a k sinha is the faculty in charge of examination contact not available;Faculty  
who is the associate dean academic at nit jamshedpur;dr mrityunjay rout is an associate dean academic and can be contacted at 8917590346;AssociateDean  
who is the associate dean academic at nit jamshedpur dr dinesh kumar;dr dinesh kumar is an associate dean academic and can be contacted at 9990742787;AssociateDean  
who is the associate dean academic at nit jamshedpur dr awdhesh kumar chaudhary;dr awdhesh kumar chaudhary is an associate dean academic and can be contacted at 8436240573;AssociateDean  
who is the associate dean academic at nit jamshedpur dr madhuri seeram;dr madhuri seeram is an associate dean academic contact not available;AssociateDean  
who is the associate dean academic at nit jamshedpur dr vineet sahoo;dr vineet sahoo is an associate dean academic contact not available;AssociateDean  
who is the coordinator examinations at nit jamshedpur dr surajit kundu;dr surajit kundu is coordinator examinations contact not available;Coordinator  
who is the coordinator examinations at nit jamshedpur dr sudhanshu shekhar pati;dr sudhanshu shekhar pati is coordinator examinations and can be contacted at 9853463966;Coordinator  
who is the coordinator time table at nit jamshedpur dr snehasis kundu;dr snehasis kundu is coordinator time table contact not available;Coordinator  
who is the coordinator time table at nit jamshedpur dr ratnesh kumar mishra;dr ratnesh kumar mishra is coordinator time table contact not available;Coordinator  
who is the coordinator samarth app at nit jamshedpur;jitesh pradhan is coordinator samarth app and can be contacted at 9589633179;Coordinator  
who is the deputy registrar at nit jamshedpur;dr syed azmat hussain is the deputy registrar contact not available;Registrar  
who are the supporting staff at nit jamshedpur; sri shristidhar mahto is supporting staff contact not available;Staff  
who are the supporting staff at nit jamshedpur sri ruhi manjhi;sri ruhi manjhi is supporting staff and can be contacted at 9162 029 698;Staff  
who are the supporting staff at nit jamshedpur sri sunil kumar gaur;sri sunil kumar gaur is supporting staff and can be contacted at 7781 025 637;Staff
what is tap at nit jamshedpur;the training and placement cell nit jamshedpur facilitates placement of students and collaborates with organizations for internships and training;TrainingPlacement  
what does the training and placement cell do at nit jamshedpur;it facilitates campus placements internship programs training programs and liaises with industries;TrainingPlacement  
who does tap interact with at nit jamshedpur;tap interacts with industrial establishments corporate houses it manufacturing consultancy finance management organisations and r and d laboratories;TrainingPlacement  
which students are selected through tap nit jamshedpur;graduate postgraduate and phd students from all disciplines are selected;TrainingPlacement  
how many companies visit nit jamshedpur campus for placement;nearly one hundred companies visit the campus to hold interviews;TrainingPlacement  
what facilities does tap provide for placement at nit jamshedpur;tap provides infrastructural facilities for group discussions tests interviews and other logistics;TrainingPlacement  
when does the placement season run at nit jamshedpur;the placement season runs throughout the year;TrainingPlacement  
what are pre placement talks at nit jamshedpur;pre placement talks are sessions conducted by companies for students before interviews as per mutual convenience;TrainingPlacement  
how are job offers announced at nit jamshedpur through tap;job offers dates of interviews and selection of candidates are announced through the training and placement cell;TrainingPlacement  
who assists the placement office at nit jamshedpur;the placement office is assisted by a committee of student representatives from graduate postgraduate and phd streams;TrainingPlacement  
what is the role of student committee in placement at nit jamshedpur;student committee helps in implementing policy decisions and evolves broad policy framework every year;TrainingPlacement  
which industries approach nit jamshedpur for placement;core engineering industries it and it enabled services manufacturing consultancy finance management and r and d laboratories approach the institute;TrainingPlacement  
does tap help in internships at nit jamshedpur;yes tap collaborates with leading organizations and institutes to set up internship programs for students;TrainingPlacement  
how are selection and interview dates communicated at nit jamshedpur;they are announced through the training and placement cell;TrainingPlacement  
what is the composition of placement committee at nit jamshedpur;the committee comprises student representatives from graduate postgraduate and phd streams;TrainingPlacement  
what rules does the placement committee follow at nit jamshedpur;the committee follows a set of inviolable rules and broad policy framework for placement activities;TrainingPlacement
who can apply for welfare department scholarship in jharkhand;students must be of jharkhand state and belong to st sc or obc and family income should not exceed limits specified;Scholarship  
what financial support is provided by welfare department jharkhand;tuition and maintenance charges are provided;Scholarship  
how many scholarships are offered by faea foundation;faea offers fifty scholarships for undergraduate students;FAEA  
who is eligible for faea scholarships;students belonging to socially and economically disadvantaged sections in bpl category who passed class xii and are first year undergraduates are eligible;FAEA  
what financial support is provided by faea scholarships;tuition maintenance allowance hostel and mess charges are provided;FAEA  
who can apply for special scholarship scheme for jammu and kashmir;students from jammu and kashmir pursuing general medical engineering or other courses outside the state through the institute can apply;Scholarship  
how many scholarships are awarded by national handicapped finance and development corporation;five hundred scholarships are awarded to eligible students with disabilities;NationalHandicapped  
what is the financial support under nhfdc scholarship;rs 1000 per month for hostellers rs 700 per month for day scholars for graduation and higher level professional courses and rs 700 hostellers rs 400 day scholars for diploma certificate level professional courses course reimbursed upto rs 10000 per year;NationalHandicapped  
who is eligible for ntpc scholarship;students belonging to sc st or physically challenged categories pursuing four year full time engineering degree not receiving any financial aid are eligible;NTPC  
how many scholarships does ntpc provide;ntpc provides thirty five scholarships 20 sc 10 st 5 pc;NTPC  
who can apply for indian oil educational scholarship;students of 10 iti engineering mbbs mba courses pursuing full time regular courses in recognized institutions can apply;IndianOil  
who is eligible for cdif scholarship tata cummins;students from socially and economically disadvantaged backgrounds pursuing diploma degree in engineering or other professional degree courses at locations where cummins group has presence;CDIF  
what is merit cum means scholarship;financial assistance to poor and meritorious students from minority communities for professional and technical courses in india;MeritCumMeans  
who is eligible for op jindal engineering and management scholarships;first three toppers of second third and fourth year in civil electrical mechanical metallurgical engineering streams;OPJEMS  
what is post matric scholarship for minority students;scholarship awarded to meritorious students from economically weaker sections of minority communities to enhance higher education and employability;Minority  
who can get scholarship of ongc limited dehradun;electrical and mechanical engineering toppers after sixth semester with 60 percent in 12th and ogpa of 6 or equivalent and parental income below 1.5 lakhs per year;ONGC  
how much financial support is given by ongc scholarship;year one twelve thousand year two twelve thousand year three eighteen thousand year four eighteen thousand;ONGC  
how to apply for ongc scholarship;institute applies on behalf of students every year;ONGC
how many hostels are there in nit jamshedpur;there are thirteen hostels seven for boys and six for girls;Hostel  
which are the boys hostels at nit jamshedpur;the boys hostels are hostel e f g h i j k;BoysHostel  
which are the girls hostels at nit jamshedpur;the girls hostels are hostel a b c d rlb ahr;GirlsHostel  
is hostel e a boys hostel at nit jamshedpur;yes hostel e is a boys hostel;BoysHostel  
is hostel f a boys hostel at nit jamshedpur;yes hostel f is a boys hostel;BoysHostel  
is hostel g a boys hostel at nit jamshedpur;yes hostel g is a boys hostel;BoysHostel  
is hostel h a boys hostel at nit jamshedpur;yes hostel h is a boys hostel;BoysHostel  
is hostel i a boys hostel at nit jamshedpur;yes hostel i is a boys hostel;BoysHostel  
is hostel j a boys hostel at nit jamshedpur;yes hostel j is a boys hostel;BoysHostel  
is hostel k a boys hostel at nit jamshedpur;yes hostel k is a boys hostel;BoysHostel  
is hostel a a girls hostel at nit jamshedpur;yes hostel a is a girls hostel;GirlsHostel  
is hostel b a girls hostel at nit jamshedpur;yes hostel b is a girls hostel;GirlsHostel  
is hostel c a girls hostel at nit jamshedpur;yes hostel c is a girls hostel;GirlsHostel  
is hostel d a girls hostel at nit jamshedpur;yes hostel d is a girls hostel;GirlsHostel  
is hostel rlb a girls hostel at nit jamshedpur;yes hostel rlb is a girls hostel;GirlsHostel  
is hostel ahr a girls hostel at nit jamshedpur;yes hostel ahr is a girls hostel;GirlsHostel
who is the chief warden at nit jamshedpur;dr laljee prasad is the chief warden contact 9470144092 email chiefwarden@nitjsr.ac.in;ChiefWarden  
who is the warden in charge of boys hostels at nit jamshedpur;dr arvind kumar patel is warden i c boys contact 8878732337 email wardenic.boys@nitjsr.ac.in;Warden  
who is the warden in charge of girls hostels at nit jamshedpur;dr kanika prasad is warden i c girls contact 8340412698 email wardenic.girls@nitjsr.ac.in;Warden  
who is the warden of hostel a at nit jamshedpur;dr suravi pal is warden hostel a contact 8787747113 email warden.a@nitjsr.ac.in;Warden  
who is the warden of hostel b at nit jamshedpur;dr anushree dutta is warden hostel b contact 8017265397 email warden.b@nitjsr.ac.in;Warden  
who is the warden of hostel c at nit jamshedpur;dr dulari hansdah is warden hostel c contact 9439844294 email warden.c@nitjsr.ac.in;Warden  
who is the warden of hostel d at nit jamshedpur;dr debshri swargiary is warden hostel d contact 9064849473 email warden.d@nitjsr.ac.in;Warden  
who is the warden of hostel rlb at nit jamshedpur;dr shubham tripathi is warden hostel rlb contact 8054415367 email warden.rlb@nitjsr.ac.in;Warden  
who is the warden of hostel ahr at nit jamshedpur;dr sangeeta kumari is warden hostel ahr contact 8971492831 email warden.ambedkar@nitjsr.ac.in;Warden  
who is the warden of hostel e at nit jamshedpur;dr b ramachandra reddy is warden hostel e contact 9479639634 email warden.e@nitjsr.ac.in;Warden  
who is the warden of hostel f at nit jamshedpur;dr simanta kumar samal is warden hostel f contact 8280295647 email warden.f@nitjsr.ac.in;Warden  
who is the warden of hostel g at nit jamshedpur;dr ram krishna is warden hostel g contact 6207429787 email warden.g@nitjsr.ac.in;Warden  
who is the warden of hostel h at nit jamshedpur;dr amit kumar is warden hostel h contact 8317069217 email warden.h@nitjsr.ac.in;Warden  
who is the warden of hostel i at nit jamshedpur dr arjun kumar;dr arjun kumar is warden hostel i contact 8127059284 email warden.i@nitjsr.ac.in;Warden  
who is the second warden of hostel i at nit jamshedpur dr dinesh kumar;dr dinesh kumar is second warden hostel i contact 9990742787 email warden2.i@nitjsr.ac.in;Warden  
who is the warden of hostel j at nit jamshedpur dr rinku kumar gouda;dr rinku kumar gouda is warden hostel j contact 8895642312 email warden.j@nitjsr.ac.in;Warden  
who is the second warden of hostel j at nit jamshedpur dr jitesh pradhan;dr jitesh pradhan is second warden hostel j contact 9589633179 email warden2.j@nitjsr.ac.in;Warden  
who is the warden of hostel k at nit jamshedpur dr sankar kumar roy;dr sankar kumar roy is warden hostel k contact 8910961429 email warden.k@nitjsr.ac.in;Warden  
who is the second warden of hostel k at nit jamshedpur dr arvind kumar prajapati;dr arvind kumar prajapati is second warden hostel k contact 7607276799 email warden2.k@nitjsr.ac.in;Warden  
who is the warden of new boys hostel at nit jamshedpur;dr binay kumar is warden new boys hostel contact 8293812519;Warden  
who is the supervisor of hostel a at nit jamshedpur;mrs seema devi is supervisor hostel a contact 6207362023 email hostel.a@nitjsr.ac.in;Supervisor  
who is the supervisor of hostel b at nit jamshedpur;mrs seema devi is supervisor hostel b contact 6207362023 email hostel.b@nitjsr.ac.in;Supervisor  
who is the supervisor of hostel c at nit jamshedpur;mrs puja kumari is supervisor hostel c contact 8092777565 email hostel.c@nitjsr.ac.in;Supervisor  
who is the supervisor of hostel d at nit jamshedpur;mrs puja kumari is supervisor hostel d contact 8092777565 email hostel.d@nitjsr.ac.in;Supervisor  
who is the supervisor of hostel rlb at nit jamshedpur;mrs punam singh is supervisor hostel rlb contact 6207564721 email hostel.rlb@nitjsr.ac.in;Supervisor  
who is the supervisor of hostel ahr at nit jamshedpur;mrs punam singh is supervisor hostel ahr contact 6207564721 email hostel.ahr@nitjsr.ac.in;Supervisor  
who is the supervisor of hostel e at nit jamshedpur;mr vinay kumar ojha is supervisor hostel e contact 8053535872 email hostel.e@nitjsr.ac.in;Supervisor  
who is the supervisor of hostel f at nit jamshedpur;mr baghrai hansda is supervisor hostel f contact 9893986602 email hostel.f@nitjsr.ac.in;Supervisor  
who is the supervisor of hostel g at nit jamshedpur;mr baghrai hansda is supervisor hostel g contact 9893986602 email hostelg@nitjsr.ac.in;Supervisor  
who is the supervisor of hostel h at nit jamshedpur;mr vinay kumar ojha is supervisor hostel h contact 8053535872 email hostel.h@nitjsr.ac.in;Supervisor  
who is the supervisor of hostel i at nit jamshedpur;mr mukesh kumar tyagi is supervisor hostel i contact 7258891467 email hostel.i@nitjsr.ac.in;Supervisor  
who is the supervisor of hostel j at nit jamshedpur;mr santosh kumar singh is supervisor hostel j contact 7004114283 email hostel.j@nitjsr.ac.in;Supervisor  
who is the supervisor of hostel k at nit jamshedpur;mr mukesh kumar is supervisor hostel k contact 8351927920 email hostel.k@nitjsr.ac.in;Supervisor  
who is the assistant in sg ii chief warden office at nit jamshedpur;mrs boby banerjee is assistant sg ii chief warden office contact 8340555126 email cwo@nitjsr.ac.in;Assistant  
who is the executive assistant in chief warden office at nit jamshedpur;mr rohit seth is executive assistant chief warden office contact 7505882291 email oo.chiefwarden@nitjsr.ac.in;Assistant
what is the anti ragging committee at nit jamshedpur;the anti ragging committee is constituted in compliance with supreme court directives to curb the menace of ragging;AntiRagging  
who are in the surprise visit squad at nit jamshedpur;prof a k l srivastava prof shailendra kumar prof sanjay prof m k paswan prof a k choudhary are in the surprise visit squad contact numbers 9470316916 7903645377 9430738551 9771300840 9431161850;AntiRagging  
what is the role of monitoring committee at nit jamshedpur;the monitoring committee oversees implementation of anti ragging regulations and functioning of various anti ragging committees;Committee  
who coordinates counselling of freshers and seniors at nit jamshedpur;dean sw chief warden proctor and coordinator training and placement coordinate counselling for freshers and seniors;Counselling  
who must submit affidavit and undertakings at nit jamshedpur;each student parents and guardians must submit affidavit as per ugc guidelines and undertakings as per supreme court directives;Affidavit  
where are complaint boxes for ragging located at nit jamshedpur;complaint boxes are kept in all hostels in general hostels c and d in particular and at two places in institute building library and computer centre;Complaint  
who ensures complaint boxes are kept in first year hostels at nit jamshedpur;dean sa ensures complaint boxes are kept in hostels where first year students are accommodated;Complaint  
who is informed about anti ragging measures at nit jamshedpur;local administration and rit police station are informed and requested to keep constant vigil and patrol around first year hostels;Security  
why is patrolling necessary at nit jamshedpur;patrolling is necessary due to absence of boundary wall presence of new students and disturbance from local elements;Security
what medical facilities are available at nit jamshedpur;the institute has round the clock medical facilities at institute health centre and empanelled hospitals in the city monitored by medical services committee;Health  
who can get treatment at institute health centre;employees their dependents and students can get treatment for basic day to day health problems and medicines;Dispensary  
who are the medical officers at institute health centre;dr abhay kumar and dr aakanksha sumedha are medical officers;Medical  
who are the supporting staff at institute health centre;k p dubey medical assistant kanchan devi attendant and motilal gaur caretaker;Medical  
which empanelled hospitals provide specialist treatment on cashless basis;tata main hospital jamshedpur brahmananda hospital jamshedpur a s g eye hospital jamshedpur rajasthan sewa sadan hospital jamshedpur;Medical  
where can medicines prescribed by doctors be obtained;medicines are provided from empanelled shops on cashless basis;Medical  
which pathology laboratory is empanelled for tests;aarogyam pathology laboratory adityapur is empanelled for various pathological tests on cashless basis;Pathology  
what medical facilities are provided to students;students are provided emergency and inside admission medical facilities on cashless basis in tata main hospital bistupur opd facility in steel city hospital bistupur and reimbursed in case of treatment in other hospitals;Medical  
can employees be referred to higher centres;yes employees and their dependents can be referred to higher centres in the country on recommendation of the hospitals;Referral  
are specialised doctors available at institute health centre;yes arrangement is made for specialist doctors to provide services on cashless basis in institute health centre;Medical  
is ambulance facility available at nit jamshedpur;yes ambulance facility is available 24 7 for emergency needs of staff and students;Ambulance  
what is the contact number for health centre at nit jamshedpur;contact phone number is 916572374226;Health
what are the class timings at nit jamshedpur;classes are from 8 am to 5 pm during weekdays weekends are for relaxing studying and enjoying;Campus  
what can students do during weekends at nit jamshedpur;students can relax study and enjoy during weekends;Campus  
what activities can students join at nit jamshedpur;students can join various clubs and teams to develop personality and sharpen skills;Clubs  
what fests are organized at nit jamshedpur;sports meet culfest and ojass are organized as institute fests;Fests  
what are some tourist attractions near nit jamshedpur;jubilee park dimna lake dalma hills tata steel zoological park chandil dam rivers meet hudco lake centre for excellence sir dorabji tata park moolgaokar park bhuvneswari temple are major tourist attractions;Tourism  
is ragging allowed at nit jamshedpur;ragging is strictly forbidden and not allowed in the institute;Ragging  
who can students approach if they face ragging issues;students can approach student vice president general secretary welfare faculty advisor or their warden for advice or assistance;Ragging  
what social and entertainment facilities are available on campus;gymkhana tennis courts basketball court vishwakarma sabha griha clubs and eateries are available;Social  
what infrastructure amenities are available on campus;24 hour power water network and well maintained roads are available;Infrastructure  
what food and beverage options are available on campus;nescafe juice corner desi food court continental stall and night canteen for every hostel are available;Amenities  
what other amenities are available on campus;photocopy and stationary stall nit store sudha milk parlour barber shop sbi and icici bank atms are available;Amenities  
why should prospective students join nit jamshedpur;students get rich heritage exposure opportunities to meet technical professionals learn from them tap into alumni network meet great people make friends and fulfill their dreams;Career
what is the students council at nit jamshedpur;students council is the highest governing body of students activities centre responsible for all student activities in the institute;Council  
what is the objective of students council;objective of students council is to represent opinions ideas and proposals of students improve communication between administration students and parents provide forum for students to voice opinions encourage self confidence responsibility create caring atmosphere bridge gap between students and administration maintain transparency in all student activities;Objective  
how does students council help students;students council helps by making administration more approachable addressing demands and problems faced by students and creating conducive environment for academic and extracurricular excellence;Roles  
what posts are there in students council at nit jamshedpur;president vice president general secretary joint secretary alumni secretary joint alumni secretary technical secretary joint technical secretary cultural secretary joint cultural secretary sports secretary joint sports secretary club secretary pg representative and first year representative;Structure  
who is eligible to be president of students council;president is 4th year b tech student;Roles  
who can be vice president of students council;vice president is 3rd year b tech student;Roles  
who can be general secretary of students council;general secretary is 3rd year b tech student;Roles  
who can be joint secretary of students council;joint secretary is 2nd year b tech student;Roles  
who can be alumni secretary of students council;alumni secretary can be 4th or 3rd year b tech student;Roles  
who can be joint alumni secretary of students council;joint alumni secretary can be 3rd or 2nd year b tech student;Roles  
who can be technical secretary of students council;technical secretary can be 4th or 3rd year b tech student;Roles  
who can be joint technical secretary of students council;joint technical secretary can be 3rd or 2nd year b tech student;Roles  
who can be cultural secretary of students council;cultural secretary can be 4th or 3rd year b tech student;Roles  
who can be joint cultural secretary of students council;joint cultural secretary can be 3rd or 2nd year b tech student;Roles  
who can be sports secretary of students council;sports secretary can be 4th or 3rd year b tech student;Roles  
who can be joint sports secretary of students council;joint sports secretary can be 3rd or 2nd year b tech student;Roles  
who can be club secretary of students council;club secretary is 4th year b tech student;Roles  
who represents pg students in students council;pg representative represents pg students;Roles  
who represents first year students in students council;first year representative represents 1st year b tech students;Roles
what is the central library at nit jamshedpur;the central library is a unit of the institute supporting educational research and innovation programs by providing physical and digital access to information and reading resources;Library  
what is the goal of the library;goal of the library is to support teaching learning and research activities and contribute to academic excellence;Objective  
what resources are available in the library;library has rich comprehensive high quality information resources in science and technology management and humanities;Resources  
how many floors does the library have;the institute library has three spacious floors;Infrastructure  
what security measures are there in the library;library is integrated with cctv cameras and a fire alarm system for better security;Security  
which systems are used for library operations;koha lms and rfid are used for library operations;Operations  
what are the library opening hours;library is open from monday to saturday 08 am to 09 pm;Timing  
what are the issue return hours monday to friday;books can be issued and returned from monday to friday 09 am to 05 pm;Timing  
what are the issue return hours on saturday;on saturday issued books can be returned and only book bank books are allowed to be issued;Timing  
what library services are available remotely;library services and resources can be accessed remotely via library remote access page http://idp.nitjsr.ac.in;Access  
where can i find remote access resources of library;remote access resources are available on http://idp.nitjsr.ac.in;Access  
what is sc st cell at nit jamshedpur;sc st cell is a committee at nit jamshedpur to address matters related to sc and st students and ensure their welfare;SCSTCell  
who is the chairman of sc st cell;dr c m rao is the chairman of sc st cell;Roles  
who is the convenor of sc st cell;dr kuntal majhi is the convenor of sc st cell;Roles  
who are the members of sc st cell;dr s b prasad dr gunda yoganjanyelu sri gopaljee ram sri provot kumar roy sri ratish kumar paswan sri bibhas sarkar sri sourav kumar and registrar are members of sc st cell;Members  
who is dr s b prasad in sc st cell;dr s b prasad is a member of sc st cell;Members  
who is dr gunda yoganjanyelu in sc st cell;dr gunda yoganjanyelu is a member of sc st cell;Members  
who is sri gopaljee ram in sc st cell;sri gopaljee ram is a member of sc st cell;Members  
who is sri provot kumar roy in sc st cell;sri provot kumar roy is a member of sc st cell;Members  
who is sri ratish kumar paswan in sc st cell;sri ratish kumar paswan is a member of sc st cell;Members  
who is sri bibhas sarkar in sc st cell;sri bibhas sarkar 2022pgcese11 m tech is a member of sc st cell;Members  
who is sri sourav kumar in sc st cell;sri sourav kumar 2021ugcs038 b tech is a member of sc st cell;Members  
who is registrar in sc st cell;registrar is a member of sc st cell;Members
what is the function of internal complaints committee icc;icc conducts prompt and impartial investigation into incidents establishes clear and confidential reporting mechanisms ensures victims safety raises awareness promotes culture of respect and fulfills additional responsibilities as per act;ICC  
what is sexual harassment at workplace;sexual harassment at workplace includes making advances or physical contact demanding sexual favours making sexually suggestive comments displaying pornography and any other unwanted physical verbal or nonverbal behaviour of sexual character;Harassment  
what steps should you take if you encounter sexual harassment;do not feel guilty make it apparent to harasser that you find actions insulting inform icc keep record of every instance of harassment and submit formal complaint if necessary;WomenSafety  
who can approach icc and file a complaint;any woman employee faculty staff contractual casual temporary female student or any woman residing or visiting nit jamshedpur campus can approach icc and file complaint;ICC  
how can a complaint be filed at icc;a complaint can be personally approached by telephone email or writing to any icc member followed by submission of formal written complaint as hard copy addressed to presiding officer within 90 days of incident;ICC  
what should a formal complaint to icc contain;date and time of incident place of incident name and contact information of accused name and contact information of witnesses and detailed description of incident;ICC  
who is the presiding officer of icc;dr mrs madhu singh presiding officer is from electrical engineering department contact madhu ee@nitjsr ac in;Contact  
who are the members of icc;dr mrs renu kumari from mme dr mrs shubham tripathi from production and industrial engineering sri arjun kumar singh assistant sg ii sri sanjay chatterjee assistant sg i ms kushboo 2021rsec012 electronics sri srishti singh 2022pgcese02 civil ms astha gupta 2021ugme027 mechanical mrs parimita ngo member are members of icc;Members  
what documents are important for icc operations;office memorandum f no 11013 3 2009 esst dated 21 07 2009 sexual harassment of women at workplace act 2013 handbook on sexual harassment of women at workplace internal complaints committee documents;Documents  
what is icc email id;icc email id is icc nitjsr@nitjsr ac in;Contact
when was the central library established at nit jamshedpur;the central library was established in 1960 and serves students teachers researchers and staff members of the institute;Library  
what services does the central library provide;routine transaction of books lending and retrieval providing reference materials reprographic services and reading room services;Library  
how many floors does the library have and where is it located;the library has three floors and is situated adjacent to the administrative block of the institute;Library  
what is available in the reading room;the reading room is on the ground floor and has encyclopedias dictionaries handbooks newspapers magazines journals and reference books for on the spot use;Library  
what is the stack room used for;the stack room on the ground floor stores encyclopedias dictionaries handbooks newspapers magazines journals and reference books for users;Library  
how does the sc st book bank work;sc st book bank is for students belonging to scheduled cast and tribe and issues 15 books per academic session supplied by welfare department of jharkhand;BookBank  
what is teqip book bank;teqip book bank is used by both sc st and general students funded by world bank aid and issues two books per academic session Book Bank has new chairs and tables through teqip ii fund;BookBank  
what is the acquisition and processing unit;acquisition and processing unit is on top floor where new books and journals are accessioned catalogued and classified before being stocked in stack room;Library  
how many books were purchased during 2006 2013;total 35000 books were purchased for both book banks during 2006 to 2013;Collection  
what is the total collection of library books as on 31 03 2006;stack room 55144 books book bank sc st 23022 books teqip book bank 3022 books;Collection  
what are the working hours of the library;the library is open monday to saturday from 08 00 am to 10 00 pm and closed on sunday;Library  
what digital and online services does the library provide;the library uses libnet software 7 0 and indegst consortium for ieee asce asme springer science direct j gate and plans to subscribe ieee journals and ebooks from tmh;Facility  
who is the chairman of library committee;prof prabha chand is chairman of library committee;Committee  
who are the members of the library committee;mr munesh kumar convenor dr sr pandey dr raj nandkeolyar dr aravind gali dr ashish das dr jitendra kumar are members of library committee;Committee  
who are the library staff and their contacts;deputy librarian mr munesh kumar 9307812117 librarian# assistant librarian dr neeta bharti 8986711008 neetabharti.lib# caretaker mr ganesh shrestha 9304800620 ganesh.mts# attendant sg ii mr ravi mahato 7294169042 ravimahato.mts# security guard mr ramesh ram 9534003587 rameshram.mts#;Contact  
what are the internal links for library resources;library online catalogue(koha lms)(intranet) http://10.51.0.10 library webpage(intranet) http://10.51.0.20/wordpress;Facility
who is the deputy librarian at nit jamshedpur;mr munesh kumar is the deputy librarian and can be contacted at +91 9307812117 or librarian#@nitjsr.ac.in;Library Staff  
who is the assistant librarian at nit jamshedpur;dr neeta bharti is the assistant librarian and can be contacted at +91 8986711008 or neetabharti.lib#@nitjsr.ac.in;Library Staff  
who is the caretaker of the library at nit jamshedpur;mr ganesh shrestha is the caretaker and can be contacted at +91 9304800620 or ganesh.mts#@nitjsr.ac.in;Library Staff  
who is the attendant sg-ii of the library;mr ravi mahato is the attendant sg-ii and can be contacted at +91 7294169042 or ravimahato.mts#@nitjsr.ac.in;Library Staff  
who is the security guard of the library;mr ramesh ram is the security guard and can be contacted at +91 9534003587 or rameshram.mts#@nitjsr.ac.in;Library Staff
what is the oval structure on nit jamshedpur campus; the oval structure is the computer centre which accommodates central computing facilities; Computer Centre  
what types of services are provided by the computer centre; the computer centre provides computational services laboratory services and network services; Computer Centre  
who uses the services of the computer centre; the services are extensively used by students faculty and staff members of the institute; Computer Centre  
what servers are available in the computer centre; the centre is equipped with 2 ibm servers 4 dell emc servers 1 hp server and 1 lenovo tower server; Computer Centre  
how many computer laboratories are in the computer centre; there are eight computer laboratories for ug pg classes and one for internet services; Computer Centre  
what are the internet service timings at the computer centre; internet service is available on weekdays from 08 00 am to 10 00 pm through two leased lines 1gbps and 2gbps; Computer Centre  
what softwares are installed in the cad laboratory; the cad laboratory mainly consists of solidworks ansys autocad and fest isro sponsored; Computer Centre  
is the computer centre network limited or campus wide; the network services are currently limited to the centre but will be extended to the entire academic and residential campus shortly; Computer Centre  
what future facilities are planned in the computer centre; floor space is being augmented to accommodate a multimedia laboratory cad laboratory and a smart seminar room; Computer Centre
how large is the nit jamshedpur campus; the campus is spread over almost 343 acres; Campus Security  
what priority has the institute administration given to the campus; utmost care has been taken for safety and security of students and employees; Campus Security  
who is the security officer contact; contact number of the security officer is 7643944090; Campus Security  
what is the phone number of quick reaction team; quick reaction team can be contacted at 7643944096; Campus Security  
what is the night ambulance contact; night ambulance contact number is 9631332822; Campus Security  
what is the day ambulance contact; day ambulance contact number is 7542928298; Campus Security
what facilities are available at the guest house; the guest house has well furnished rooms made available to people visiting the college on request; Guest House  
who is the faculty in charge of the guest house; dr vineet sahoo is the faculty in charge of the guest house; Guest House  
what is the email id of the guest house in charge; fic.guesthouse@nitjsr.ac.in; Guest House  
what is the mobile number of the guest house in charge; +91-657-237-4156; Guest House
what facility does the college provide for staff and students transportation; the college provides a bus service for staff and students; Bus Service  
how many times a day does the college bus run; the college bus runs thrice a day; Bus Service  
what are the bus timings from college campus to bistupur; 12 30pm 5 15pm 6 30pm; Bus Service  
what are the bus timings from bistupur to college campus; 1 00pm 7 30pm 7 45pm; Bus Service  
what are the stoppages of the college bus; nit main gate road no four adityapur colony all india radio adityapur; Bus Service
Is VIT better than some NITs like say NIT Durgapur;No VIT is not better than NITs at all It is a private engineering college so it will cost much more than studying at a government college like NIT NITs have better reservation policy placement statistics and legacy making them better than VIT;admission
